timestamp,target
1469198049.17012,1
1469198049.372577,1
1469198049.5809312,1
1469198049.7905438,1
1469198049.9985652,1
1469198050.199952,1
1469198050.407809,1
1469198050.612161,1
1469198050.813439,1
1469198051.019205,1
1469198051.222403,1
1469198051.431294,1
1469198051.639951,1
1469198051.848784,1
1469198052.057007,1
1469198052.266785,1
1469198052.475096,1
1469198052.678976,1
1469198052.884575,1
1469198053.095127,1
1469198053.299762,1
1469198053.504832,1
1469198053.708267,1
1469198053.9158342,1
1469198054.121807,1
1469198054.323363,1
1469198054.531687,1
1469198054.73938,1
1469198054.946889,1
1469198055.152716,1
1469198055.35998,1
1469198055.5691211,1
1469198055.7763321,1
1469198055.983979,1
1469198056.192348,1
1469198056.39621,1
1469198056.6045,1
1469198056.812823,1
1469198057.013887,1
1469198057.2195892,1
1469198057.429368,1
1469198057.6320739,1
1469198057.83499,1
1469198058.0433412,1
1469198058.244809,1
1469198058.446773,1
1469198058.651996,1
1469198058.8597891,1
1469198059.068005,1
1469198059.269398,1
1469198059.472554,1
1469198059.680587,1
1469198059.8877141,1
1469198060.0907662,1
1469198060.298814,1
1469198060.506482,1
1469198060.711939,1
1469198060.917095,1
1469198061.1246269,1
1469198061.333003,1
