timestamp,target
1469198334700,1
1469198334907,1
1469198335109,1
1469198335311,1
1469198335513,1
1469198335715,1
1469198335917,1
1469198336119,1
1469198336321,1
1469198336523,1
1469198336725,1
1469198336927,1
1469198337129,1
1469198337331,1
1469198337534,1
1469198337736,1
1469198337938,1
1469198338140,1
1469198338342,1
1469198338544,1
1469198338746,1
1469198338948,1
1469198339150,1
1469198339352,1
1469198339554,1
1469198339758,1
1469198339960,1
1469198340162,1
1469198340364,1
1469198340566,1
1469198340768,1
1469198340970,1
1469198341172,1
1469198341376,1
1469198341578,1
1469198341780,1
1469198341982,1
1469198342184,1
1469198342386,1
1469198342588,1
1469198342790,1
1469198342992,1
1469198343194,1
1469198343396,1
1469198343598,1
1469198343800,1
1469198344002,1
1469198344204,1
1469198344406,1
1469198344608,1
1469198344813,1
1469198345015,1
1469198345217,1
1469198345419,1
1469198345621,1
1469198345823,1
1469198346025,1
1469198346227,1
1469198346430,1
1469198346632,1
1469198346834,1
1469198347036,1
1469198347238,1
1469198347440,1
1469198347642,1
1469198347844,1
1469198348047,1
1469198348249,1
1469198348451,1
1469198348653,1
1469198348855,1
1469198349057,1
1469198349259,1
1469198349461,1
1469198349663,1
1469198349865,1
1469198350067,1
1469198350269,1
1469198350471,1
1469198350673,1
1469198350875,1
1469198351077,1
1469198351279,1
1469198351481,1
1469198351683,1
1469198351885,1
1469198352087,1
1469198352289,1
1469198352491,1
1469198352693,1
1469198352895,1
1469198353097,1
1469198353299,1
1469198353501,1
1469198353703,1
1469198353905,1
1469198354107,1
1469198354309,1
1469198354511,1
1469198354713,1
1469198354915,1
1469198355117,1
1469198355319,1
1469198355521,1
1469198355723,1
1469198355925,1
1469198356127,1
1469198356329,1
1469198356531,1
1469198356733,1
1469198356935,1
1469198357137,1
1469198357339,1
1469198357541,1
1469198357743,1
1469198357945,1
1469198358147,1
1469198358349,1
1469198358551,1
1469198358753,1
1469198358955,1
1469198359157,1
1469198359359,1
1469198359561,1
1469198359763,1
1469198359965,1
1469198360167,1
1469198360369,1
1469198360571,1
1469198360773,1
1469198360975,1
1469198361179,1
1469198361382,1
1469198361584,1
1469198361786,1
1469198361988,1
1469198362190,1
1469198362392,1
1469198362594,1
1469198362796,1
1469198362998,1
1469198363200,1
1469198363402,1
1469198363604,1
1469198363806,1
1469198364008,1
1469198364210,1
1469198364412,1
1469198364614,1
1469198364816,1
1469198365018,1
1469198365220,1
1469198365422,1
1469198365624,1
1469198365826,1
1469198366028,1
1469198366230,1
1469198366432,1
1469198366634,1
1469198366836,1
1469198367038,1
1469198367240,1
1469198367442,1
1469198367644,1
1469198367846,1
1469198368048,1
1469198368250,1
1469198368452,1
1469198368654,1
1469198368856,1
1469198369058,1
1469198369261,1
1469198369463,1
1469198369665,1
1469198369867,1
1469198370069,1
1469198370271,1
1469198370473,1
1469198370675,1
1469198370877,1
1469198371079,1
1469198371281,1
1469198371484,1
1469198371686,1
1469198371888,1
1469198372090,1
1469198372292,1
1469198372494,1
1469198372696,1
1469198372900,1
1469198373102,1
1469198373304,1
1469198373506,1
1469198373708,1
1469198373910,1
1469198374112,1
1469198374314,1
1469198374518,1
1469198374720,1
1469198374922,1
1469198375124,1
1469198375326,1
1469198375528,1
1469198375730,1
1469198375932,1
1469198376134,1
1469198376336,1
1469198376538,1
1469198376740,1
1469198376942,1
1469198377144,1
1469198377346,1
1469198377548,1
1469198377750,1
1469198377952,1
1469198378154,1
1469198378356,1
1469198378558,1
1469198378760,1
1469198378962,1
1469198379164,1
1469198379366,1
1469198379568,1
1469198379770,1
1469198379972,1
1469198380174,1
1469198380376,1
1469198380578,1
1469198380780,1
1469198380982,1
1469198381184,1
1469198381386,1
1469198381588,1
1469198381790,1
1469198381992,1
1469198382194,1
1469198382396,1
1469198382598,1
1469198382800,1
1469198383002,1
1469198383204,1
1469198383406,1
1469198383608,1
1469198383810,1
1469198384012,1
1469198384214,1
1469198384416,1
1469198384618,1
1469198384820,1
1469198385022,1
1469198385224,1
1469198385426,1
1469198385628,1
1469198385830,1
1469198386032,1
1469198386234,1
1469198386436,1
1469198386638,1
1469198386840,1
1469198387042,1
1469198387246,1
1469198387449,1
1469198387651,1
1469198387853,1
1469198388055,1
1469198388257,1
1469198388459,1
1469198388661,1
1469198388863,1
1469198389065,1
1469198389267,1
1469198389469,1
1469198389671,1
1469198389873,1
1469198390075,1
1469198390277,1
1469198390479,1
1469198390681,1
1469198390883,1
1469198391085,1
1469198391287,1
1469198391489,1
1469198391691,1
1469198391893,1
1469198392095,1
1469198392297,1
1469198392499,1
1469198392701,1
1469198392903,1
1469198393105,1
1469198393307,1
1469198393510,1
1469198393712,1
1469198393914,1
1469198394116,1
1469198394318,1
1469198394520,1
1469198394722,1
1469198394924,1
1469198395126,1
